Batch,Tag,MS Samples Name,Sample Type,Biological Rep,Technical Rep,Replicate Name
TMT1,126C,Ref,Pool,1,1,POOL1
TMT1,127N,CM 4,BL-CFP,1,1,CF11
TMT1,127C,CM 17,BL-E,2,2,BL22
TMT1,128N,CM 14,BL-1S,1,2,S112
TMT1,128C,CM 11,BL-7S,2,1,S721
TMT1,129N,Ref,Pool,1,2,POOL2
TMT1,129C,CM 8,BL_CFP,2,1,CF21
TMT1,130N,CM 5,BL-E,1,1,BL11
TMT1,130C,CM 18,BL-1S,2,2,S122
TMT1,131N,CM 15,BL-7S,1,2,S712
TMT2,126C,CM 19,BL-7S,2,2,S722
TMT2,127N,CM 6,BL-1S,1,1,S111
TMT2,127C,CM 9,BL-E,2,1,BL21
TMT2,128N,CM 12,BL-CFP,1,2,CF12
TMT2,128C,Ref,Pool,2,1,POOL3
TMT2,129N,CM 7,BL-7S,1,1,S711
TMT2,129C,CM 10,BL-1S,2,1,S121
TMT2,130N,CM 13,BL-E,1,2,BL12
TMT2,130C,CM 16,BL-CFP,2,2,CF22
TMT2,131N,Ref,Pool,2,2,POOL4
